"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_773.5277",1.1135e-73,72.953,2.8124e-71,"region_1-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_12-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",1.317
"MZ_772.5248",1.7057e-73,72.768,4.1737e-71,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.4467
"MZ_773.5260",1.9463e-73,72.711,4.618e-71,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.6182
"MZ_741.5312",3.8945e-73,72.41,8.9688e-71,"region_2-region_8; region_3-region_8; region_10-region_8; region_2-region_1; region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",1.502
"MZ_826.5649",2.9773e-72,71.526,6.6607e-70,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.778
"MZ_772.5260",5.7274e-72,71.242,1.2457e-69,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.3801
"MZ_773.5242",1.915e-71,70.718,4.0526e-69,"region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.06058
"MZ_824.5552",2.6824e-71,70.571,5.5272e-69,"region_2-region_8; region_3-region_8; region_4-region_8; region_10-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.47
"MZ_221.9715",2.8274e-71,70.549,5.6766e-69,"region_13-region_8; region_13-region_1; region_13-region_2; region_13-region_3; region_13-region_11; region_13-region_7; region_13-region_4; region_13-region_10; region_13-region_5; region_13-region_12; region_13-region_9",2.653
"MZ_798.5353",3.5574e-71,70.449,6.9637e-69,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.455
"MZ_824.5551",5.8282e-71,70.234,1.1131e-68,"region_2-region_8; region_3-region_8; region_4-region_8; region_10-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.603
"MZ_773.5253",6.1201e-71,70.213,1.141e-68,"region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1498
"MZ_826.5656",1.434e-70,69.843,2.6112e-68,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.867
"MZ_773.5272",6.9059e-70,69.161,1.215e-67,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_12-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.247
"PG_32:0_741.5282_[M+H+H2O]+",6.9826e-70,69.156,1.215e-67,"region_2-region_8; region_3-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.278
"MZ_826.5660",8.9442e-70,69.048,1.5225e-67,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.712
"MZ_773.5273",9.1403e-70,69.039,1.5227e-67,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_12-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.031
"MZ_741.5311",1.073e-69,68.969,1.7504e-67,"region_2-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.382
