"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"MSI04428",56.241,81.816,94.478,142.595,0.595,-0.748,0.193,0.371,0.578,0.167
"MSI04429",26.385,23.034,139.833,344.367,0.189,-2.406,0.0677,0.221,0.806,0.238
"MSI04430",37.347,86.336,143.761,482.219,0.26,-1.945,0.224,0.401,0.541,0.153
"MSI04431",37.316,76.212,125.843,375.36,0.297,-1.754,0.196,0.373,0.574,0.165
"MSI04432",34.099,35.919,78.301,75.325,0.435,-1.199,0.00393,0.025,1.247,0.379
"MSI04433",54.648,108.737,226.659,508.98,0.241,-2.052,0.0663,0.219,0.81,0.235
"50-84-0 [M+H-2H2O]+",33.743,44.608,113.526,182.591,0.297,-1.75,0.0194,0.0996,1.023,0.284
"MSI04435",47.59,103.368,127.18,378.582,0.374,-1.418,0.256,0.429,0.505,0.161
"3-bromo-4-chloropyridine [M+H-2H2O]+",44.413,65.352,87.757,168.449,0.506,-0.983,0.18,0.357,0.596,0.151
"MSI04437",36.188,62.031,196.284,497.071,0.184,-2.439,0.0755,0.232,0.785,0.228
"Tripropylborane [M+NH4]+",39.024,62.527,124.375,225.139,0.314,-1.672,0.043,0.168,0.89,0.257
"MSI04439",40.248,59.564,75.194,68.304,0.535,-0.902,0.033,0.144,0.936,0.277
"Tetrapropyldiborane(4) [M+H-2H2O]+",49.616,83.712,93.926,167.689,0.528,-0.921,0.186,0.365,0.587,0.15
"MSI04441",638.476,42.707,297.82,674.424,2.144,1.1,0.0059,0.036,1.194,-0.351
"H2MoO4 [M+H]+",48.215,73.257,97.635,168.476,0.494,-1.018,0.133,0.307,0.665,0.189
"MSI04443",36.916,53.293,93.282,165.829,0.396,-1.337,0.072,0.226,0.794,0.206
"MSI04444",14.092,7.21,111.918,147.964,0.126,-2.99,0.00041,0.00345,1.503,0.458
"Irbesartan [M+H]+",58.389,132.025,162.417,555.79,0.36,-1.476,0.307,0.475,0.455,0.134
"N-[3-cyano-4-(3,4-dibromophenylamino)quinolin-6-... [M+H]+",22.697,16.706,57.434,22.916,0.395,-1.339,2.85e-09,5.32e-08,2.316,0.668
"Gossypetin 8-glucuronide-3-sulfate [M]+",17.225,17.651,129.092,342.023,0.133,-2.906,0.0694,0.223,0.801,0.22
"Bullatacinone [M+H]+",121.875,144.409,65.098,37.441,1.872,0.905,0.0352,0.149,0.925,-0.263
"MSI04449",146.295,188.008,139.745,264.676,1.047,0.066,0.91,0.936,0.051,-0.022
"Cer[NS] [M+H-H2O]+_1",256.621,131.268,70.11,63.515,3.66,1.872,8.42e-10,1.63e-08,2.372,-0.674
"MSI04451",39.125,91.679,69.332,57.114,0.564,-0.825,0.119,0.292,0.691,0.204
"MSI04452",27.43,44.978,69.293,54.554,0.396,-1.337,0.00138,0.01,1.372,0.394
"ferroheme c di-L-cysteine(2-) residue [M+Na]+",45.164,59.912,57.434,22.916,0.786,-0.347,0.283,0.453,0.477,0.129
"PG(TXB2/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) [M]+",63.53,60.709,57.434,22.916,1.106,0.146,0.597,0.703,0.236,-0.07
"des-acyl avenacin A [M+H]+",103.556,63.83,102.443,182.636,1.011,0.016,0.974,0.983,0.014,0.02
"MSI04456",132.892,164.031,87.952,69.858,1.511,0.595,0.159,0.334,0.625,-0.18
"MSI04457",99.132,117.953,92.767,131.324,1.069,0.096,0.839,0.886,0.091,-0.007
"MSI04458",57.465,98.769,140.127,373.102,0.41,-1.286,0.23,0.406,0.533,0.162
"MSI04459",70.293,107.287,70.023,47.349,1.004,0.006,0.99,0.993,0.006,0.025
"MSI04460",62.566,76.077,70.13,46.862,0.892,-0.165,0.634,0.733,0.213,0.069
"MSI04461",81.716,127.894,203.104,499.316,0.402,-1.313,0.188,0.366,0.585,0.176
"MSI04462",84.505,126.024,133.949,338.341,0.631,-0.665,0.441,0.584,0.343,0.1
"heptan-3-amine [M+H]+",52.581,69.188,77.922,67.395,0.675,-0.568,0.143,0.316,0.649,0.192
"MSI04464",63.807,77.495,135.502,202.248,0.471,-1.087,0.0658,0.219,0.811,0.213
"MSI04465",59.148,60.361,148.195,210.757,0.399,-1.325,0.025,0.119,0.982,0.275
"MSI04466",81.405,116.337,120.251,270.565,0.677,-0.563,0.458,0.594,0.331,0.072
"MSI04467",68.874,118.494,166.722,350.606,0.413,-1.275,0.14,0.313,0.654,0.171
"MSI04468",87.501,105.463,167.339,443.321,0.523,-0.935,0.325,0.489,0.438,0.128
"MSI04469",80.002,121.764,146.6,307.213,0.546,-0.874,0.259,0.431,0.502,0.147
"MSI04470",69.815,114.18,90.36,72.293,0.773,-0.372,0.393,0.546,0.381,0.114
"MSI04471",68.59,92.751,95.592,104.69,0.718,-0.479,0.279,0.449,0.482,0.128
"MSI04472",34.626,30.336,242.951,280.188,0.143,-2.811,9.26e-05,0.00088,1.644,0.482
"MSI04473",35.932,68.422,199.825,403.686,0.18,-2.475,0.0271,0.126,0.969,0.27
"MSI04474",46.849,78.222,77.346,44.677,0.606,-0.723,0.0601,0.211,0.829,0.243
"MSI04475",56.738,72.678,237.488,253.866,0.239,-2.066,0.000262,0.00232,1.547,0.462
"MSI04476",5510.395,368.581,1918.461,3358.427,2.872,1.522,1.05e-07,1.58e-06,2.128,-0.61
"Thiophenes [M+K]+",5661.024,378.656,1933.971,3393.18,2.927,1.55,5.62e-08,8.92e-07,2.164,-0.621
"Borane, diethylmethyl- [M+K]+",60.276,109.906,147.741,501.715,0.408,-1.293,0.339,0.501,0.426,0.111
"MSI04479",58.179,91.026,176.093,428.41,0.33,-1.598,0.133,0.307,0.666,0.208
"MSI04480",61.974,108.619,174.22,437.771,0.356,-1.491,0.164,0.34,0.617,0.164
"Triethylamine [M+Na]+",91.121,121.482,107.321,255.039,0.849,-0.236,0.747,0.816,0.144,0.052
"MSI04482",118.961,172.699,134.291,375.765,0.886,-0.175,0.835,0.883,0.093,0.039
"MSI04483",64.618,117.65,71.337,46.18,0.906,-0.143,0.765,0.831,0.134,0.028
"Arsenate ion [M+H-H2O]+",102.708,125.808,71.68,41.238,1.433,0.519,0.19,0.368,0.582,-0.188
"Trimethylselenonium [M]+",61.702,84.3,90.459,104.647,0.682,-0.552,0.231,0.406,0.533,0.136
"MSI04486",57.674,76.289,142.683,263.386,0.404,-1.307,0.0844,0.247,0.762,0.216
"MSI04487",48.895,99.717,257.995,512.937,0.19,-2.4,0.0271,0.126,0.969,0.285
"MSI04488",60.471,105.982,57.434,22.916,1.053,0.074,0.875,0.91,0.071,-0.038
"Methyl methanethiosulfonate [M]+",69.005,122.23,57.434,22.916,1.202,0.265,0.601,0.705,0.234,-0.072
"MSI04490",67.832,116.745,132.499,197.779,0.512,-0.966,0.116,0.289,0.695,0.194
"MSI04491",97.779,147.594,119.165,182.281,0.821,-0.285,0.608,0.711,0.229,0.063
"MSI04492",113.586,177.862,85.012,87.408,1.336,0.418,0.418,0.568,0.361,-0.119
"MSI04493",64.326,82.439,232.054,406.924,0.277,-1.851,0.0257,0.122,0.977,0.273
"MSI04494",71.796,82.695,82.534,101.887,0.87,-0.201,0.645,0.742,0.206,0.082
"MSI04495",91.954,124.168,207.605,444.012,0.443,-1.175,0.161,0.336,0.622,0.174
"MSI04496",91.554,135.504,85.7,91.339,1.068,0.095,0.84,0.886,0.09,-0.034
"MSI04497",114.504,171.56,73.762,49.571,1.552,0.634,0.202,0.38,0.567,-0.164
"MSI04498",70.34,89.374,78.591,51.326,0.895,-0.16,0.652,0.747,0.201,0.059
"MSI04499",70.239,89.396,78.591,51.326,0.894,-0.162,0.648,0.744,0.204,0.059
"MSI04500",113.669,144.408,119.145,245.021,0.954,-0.068,0.914,0.939,0.048,0.005
"MSI04501",50.707,85.853,107.471,168.441,0.472,-1.084,0.0944,0.262,0.739,0.222
"MSI04502",53.211,89.416,107.471,168.441,0.495,-1.014,0.113,0.286,0.702,0.21
"3-Chloropyridine-2-thiol [M+H-H2O]+",40.472,53.837,98.497,95.401,0.411,-1.283,0.00392,0.025,1.247,0.358
"Citraconate [M]+",49.509,84.514,136.548,186.848,0.363,-1.464,0.0194,0.0996,1.023,0.286
"Mephentermine sulfate [M+H-2H2O]+",53.015,91.432,108.415,164.054,0.489,-1.032,0.1,0.27,0.727,0.192
"MSI04506",55.072,95.63,122.695,186.022,0.449,-1.156,0.0722,0.227,0.793,0.21
"MSI04507",67.457,105.966,77.734,86.547,0.868,-0.205,0.672,0.761,0.189,0.048
"MSI04508",68.627,104.841,73.941,83.623,0.928,-0.108,0.823,0.876,0.1,0.029
"MSI04509",83.198,146.524,87.984,130.105,0.946,-0.081,0.891,0.922,0.062,0.015
"MSI04510",83.124,146.564,174.828,562.459,0.475,-1.073,0.376,0.531,0.395,0.11
"MSI04511",82.171,131.029,66.694,40.504,1.232,0.301,0.526,0.645,0.283,-0.07
"MSI04512",63.121,95.623,154.51,235.696,0.409,-1.292,0.0464,0.178,0.876,0.248
"<i>N</i>-dimethylethanolamine [M+K]+",73.323,80.547,77.365,63.917,0.948,-0.077,0.825,0.876,0.099,0.043
"MSI04514",116.949,153.88,92.281,77.383,1.267,0.342,0.421,0.571,0.359,-0.093
"MSI04515",92.44,138.179,121.837,242.566,0.759,-0.398,0.554,0.666,0.264,0.089
"MSI04516",48.125,79.936,79.632,59.875,0.604,-0.727,0.0792,0.239,0.775,0.218
"4-methylthio-2-oxobutanoate [M+H-H2O]+",98.82,110.41,163.425,318.719,0.605,-0.726,0.283,0.452,0.478,0.13
"MSI04518",68.922,124.897,149.074,410.282,0.462,-1.113,0.295,0.464,0.467,0.143
"MSI04519",60.898,82.988,139.819,284.274,0.436,-1.199,0.137,0.311,0.659,0.212
"MSI04520",63.941,109.138,107.866,264.051,0.593,-0.754,0.388,0.542,0.385,0.137
"MSI04521",53.752,85.623,110.79,218.428,0.485,-1.043,0.174,0.35,0.603,0.199
"MSI04522",74.481,139.406,70.811,50.861,1.052,0.073,0.889,0.921,0.062,-0.007
"MSI04523",50.539,87.918,133.847,242.264,0.378,-1.405,0.0723,0.227,0.793,0.229
"MSI04524",66.558,109.753,86.227,90.966,0.772,-0.374,0.438,0.582,0.346,0.09
"MSI04525",123.494,204.224,91.197,148.663,1.354,0.437,0.472,0.603,0.321,-0.118
"MSI04526",59.86,80.044,124.652,220.868,0.48,-1.058,0.124,0.297,0.681,0.204
"MSI04527",89.426,146.664,124.652,220.868,0.717,-0.479,0.455,0.591,0.333,0.099
"MSI04528",80.525,135.292,118.404,215.037,0.68,-0.556,0.402,0.554,0.373,0.111
"norspermidine [M]+",121.841,175.873,83.628,125.185,1.457,0.543,0.321,0.485,0.442,-0.118
"MSI04530",117.858,177.955,86.176,140.185,1.368,0.452,0.432,0.579,0.35,-0.07
"MSI04531",128.417,194.879,96.065,149.461,1.337,0.419,0.459,0.594,0.33,-0.061
"MSI04532",30.799,71.127,202.115,563.248,0.152,-2.714,0.0928,0.26,0.743,0.225
"MSI04533",53.396,102.83,223.116,608.679,0.239,-2.063,0.125,0.298,0.679,0.208
"MSI04534",75.231,121.023,256.452,616.092,0.293,-1.769,0.108,0.279,0.712,0.218
"MSI04535",70.465,109.235,181.392,443.07,0.388,-1.364,0.174,0.35,0.603,0.168
"2-chloro-1,1,1,2-tetrafluoroethane [M]+",39.211,49.354,144.163,315.788,0.272,-1.878,0.068,0.222,0.805,0.24
"MSI04537",130.845,205.578,175.317,626.25,0.746,-0.422,0.704,0.784,0.17,0.051
"MSI04538",33.031,32.675,94.724,112.393,0.349,-1.52,0.00409,0.0258,1.242,0.365
"MSI04539",96.622,169.628,271.773,646.38,0.356,-1.492,0.143,0.316,0.649,0.194
"MSI04540",68.29,92.692,78.16,87.656,0.874,-0.195,0.663,0.754,0.195,0.049
"MSI04541",90.175,148.688,58.944,22.9,1.53,0.613,0.245,0.418,0.517,-0.141
"MSI04542",64.567,92.277,78.188,59.757,0.826,-0.276,0.486,0.615,0.311,0.084
"MSI04543",34.736,46.603,156.984,295.717,0.221,-2.176,0.0242,0.117,0.987,0.284
"anglesite [M]+",82.833,126.024,71.883,61.518,1.152,0.205,0.66,0.752,0.196,-0.062
"2-chloro-4-nitrophenol [M+H-2H2O]+",82.573,126.129,76.763,76.067,1.076,0.105,0.824,0.876,0.099,-0.03
"fosfomycin [M]+",88.479,147.178,78.82,76.027,1.123,0.167,0.743,0.814,0.147,-0.041
"2-Fluoro-1,3,5-trimethylbenzene [M]+",105.71,160.857,187.194,498.497,0.565,-0.824,0.382,0.536,0.389,0.11
"MSI04548",140.596,182.786,273.198,652.444,0.515,-0.958,0.273,0.443,0.488,0.138
"MSI04549",137.034,184.74,273.198,652.444,0.502,-0.995,0.26,0.432,0.501,0.141
"MSI04550",54.237,106.939,88.186,92.27,0.615,-0.701,0.179,0.356,0.597,0.183
"MSI04551",43.649,94.997,228.5,586.773,0.191,-2.388,0.0835,0.246,0.764,0.209
"L-2-Amino-3-oxobutanoate [M+Na]+",55.104,89.306,199.331,482.373,0.276,-1.855,0.101,0.271,0.724,0.201
"3-Amino-2,3-dihydrobenzoic acid [M]+",70.835,130.134,117.897,346.64,0.601,-0.735,0.475,0.605,0.319,0.099
"Pentetrazol [M+H]+",53.296,105.568,62.448,39.635,0.853,-0.229,0.648,0.744,0.204,0.064
"MSI04555",36.204,65.859,66.408,46.013,0.545,-0.875,0.0374,0.155,0.914,0.255
"1-Methylpiperazine [M+K]+",47.1,72.242,66.408,46.013,0.709,-0.496,0.207,0.385,0.56,0.149
"MSI04557",48.431,69.043,66.408,46.013,0.729,-0.455,0.225,0.402,0.539,0.141
"MSI04558",77.152,114.015,92.336,145.702,0.836,-0.259,0.644,0.741,0.206,0.059
"MSI04559",76.434,113.545,135.97,279.033,0.562,-0.831,0.268,0.44,0.493,0.13
"MSI04560",85.51,156.95,65.649,41.357,1.302,0.381,0.491,0.62,0.307,-0.085
"S [M]+",78.296,141.538,64.829,42.05,1.208,0.272,0.608,0.711,0.229,-0.073
"Tropinone [M+H]+",86.297,162.069,77.686,92.568,1.111,0.152,0.795,0.853,0.116,-0.028
"THIONYL CHLORIDE [M+Na]+",54.307,108.405,108.78,232.997,0.499,-1.002,0.235,0.409,0.528,0.146
"2,6-Dichloro-para-phenylenediamine [M+H-2H2O]+",78.938,130.912,65.683,32.27,1.202,0.265,0.58,0.688,0.247,-0.076
"MSI04565",78.336,131.187,65.683,32.27,1.193,0.254,0.598,0.703,0.235,-0.072
"10265-92-6 [M]+",77.782,131.837,62.77,31.725,1.239,0.309,0.533,0.65,0.278,-0.084
"4-Chloro-2-methylaniline [M]+",83.324,143.787,82.518,88.338,1.01,0.014,0.979,0.986,0.012,0.002
"MSI04568",62.088,111.701,81.075,110.979,0.766,-0.385,0.498,0.624,0.303,0.069
"MSI04569",57.608,89.898,128.976,322.954,0.447,-1.163,0.233,0.408,0.53,0.144
"MSI04570",66.689,97.044,67.942,52.48,0.982,-0.027,0.949,0.966,0.029,0.001
"Nitrogen trichloride [M+Na]+",46.4,79.508,107.388,148.228,0.432,-1.211,0.0445,0.172,0.884,0.274
"MSI04572",75.762,137.125,158.869,412.686,0.477,-1.068,0.284,0.453,0.477,0.142
"MSI04573",86.504,150.727,143.314,380.525,0.604,-0.728,0.435,0.58,0.348,0.117
"MSI04574",107.604,161.499,80.963,90.66,1.329,0.41,0.419,0.569,0.36,-0.103
"MSI04575",121.523,168.34,76.2,87.936,1.595,0.673,0.182,0.359,0.592,-0.177
"MSI04576",109.421,162.652,61.369,32.387,1.783,0.834,0.106,0.277,0.714,-0.216
"MSI04577",77.451,124.417,189.328,393.036,0.409,-1.29,0.13,0.303,0.671,0.193
"MSI04578",33.094,43.145,71.764,63.239,0.461,-1.117,0.00581,0.0355,1.196,0.324
"MSI04579",38.4,65.239,74.302,50.869,0.517,-0.952,0.0169,0.0883,1.044,0.317
"MSI04580",54.522,100.633,198.281,487.97,0.275,-1.863,0.108,0.279,0.712,0.209
"Calcium oxalate [M+NH4]+",9232.996,617.579,1509.793,4541.593,6.115,2.612,9.19e-14,3.73e-12,2.703,-0.783
"Acetylcholine [M]+",5036.046,335.793,4177.087,4365.522,1.206,0.27,0.271,0.443,0.489,-0.138
"Lysinamide [M+H]+",5036.046,335.793,4228.103,4346.624,1.191,0.252,0.299,0.468,0.463,-0.13
"Phosphorous bromide chloride fluoride [M+H-H2O]+",32.258,40.459,98.625,149.451,0.327,-1.612,0.0182,0.0949,1.032,0.277
"MSI04585",37.437,39.103,77.962,68.052,0.48,-1.058,0.00486,0.0303,1.219,0.366
"MSI04586",38.853,43.923,107.831,176.077,0.36,-1.473,0.0355,0.15,0.924,0.268
"MSI04587",56.115,104.498,119.024,314.173,0.471,-1.085,0.287,0.456,0.474,0.13
"MSI04588",44.113,84.575,64.003,38.238,0.689,-0.537,0.23,0.406,0.534,0.141
"MSI04589",74.092,128.27,68.422,44.848,1.083,0.115,0.814,0.869,0.105,-0.026
"MSI04590",46.747,66.225,81.966,93.661,0.57,-0.81,0.0874,0.251,0.755,0.22
"MSI04591",36.459,51.198,74.576,72.836,0.489,-1.032,0.0184,0.0954,1.031,0.299
"MSI04592",9054.021,602.095,5260.674,6763.121,1.721,0.783,0.00244,0.0164,1.306,-0.37
"MSI04593",51.656,80.382,105.287,179.293,0.491,-1.027,0.128,0.301,0.675,0.196
"MSI04594",61.696,110.214,60.767,32.316,1.015,0.022,0.964,0.976,0.02,0.006
"MSI04595",67.485,108.196,71.897,84.367,0.939,-0.091,0.856,0.897,0.081,0.025
"alpha-Fluoro-beta-ureidopropionic acid [M]+",74.193,105.806,74.379,60.843,0.998,-0.004,0.993,0.996,0.004,0.012
"MSI04597",44.42,84.5,314.555,697.259,0.141,-2.824,0.0334,0.144,0.934,0.265
"MSI04598",99.169,181.964,210.86,539.763,0.47,-1.088,0.272,0.443,0.489,0.143
"MSI04599",79.184,135.99,84.914,78.035,0.933,-0.101,0.837,0.885,0.092,0.001
"MSI04600",50.523,101.529,83.628,74.066,0.604,-0.727,0.141,0.314,0.652,0.202
"MSI04601",70.256,115.696,140.633,368.911,0.5,-1.001,0.307,0.475,0.455,0.131
"MSI04602",100.218,182.523,75.655,63.459,1.325,0.406,0.475,0.605,0.319,-0.08
"MSI04603",70.81,102.618,94.478,142.595,0.749,-0.416,0.449,0.588,0.338,0.097
"MSI04604",47.67,91.977,131.489,380.446,0.363,-1.464,0.23,0.406,0.533,0.168
"MSI04605",33.677,56.973,113.341,158.877,0.297,-1.751,0.00967,0.0548,1.126,0.321
"MSI04606",57.25,112.787,119.301,262.124,0.48,-1.059,0.223,0.401,0.541,0.167
"3-Fluoro-cis,cis-muconate [M]+",63.444,91.966,141.388,374.241,0.449,-1.156,0.257,0.429,0.504,0.14
"MSI04608",58.541,99.517,87.085,164.46,0.672,-0.573,0.404,0.555,0.372,0.088
"4- [M]+",58.303,79.39,103.12,109.856,0.565,-0.823,0.0661,0.219,0.81,0.235
"MSI04610",53.093,113.908,58.696,22.08,0.905,-0.145,0.786,0.846,0.122,0.044
"MSI04611",52.777,81.072,81.147,137.925,0.65,-0.621,0.32,0.484,0.443,0.12
"1637-71-4 [M+H-2H2O]+",191.982,112.376,97.972,157.436,1.96,0.971,0.00781,0.0461,1.156,-0.345
"Lupinine [M+H]+",37.983,82.612,61.679,37.402,0.616,-0.699,0.144,0.318,0.647,0.187
"3-Phosphohydroxypyruvic acid [M]+",38.786,81.493,95.738,149.276,0.405,-1.304,0.0628,0.215,0.82,0.255
"C6H14O6 [M]+",83.895,144.862,111.289,304.53,0.754,-0.408,0.647,0.744,0.204,0.045
"2,4,5-Trichloro-2,5-cyclohexadiene-1-ol [M+H]+",43.315,94.255,102.481,166.938,0.423,-1.242,0.0858,0.249,0.759,0.236
"4-Sulfobenzoate [M+H]+",48.233,101.213,140.725,412.035,0.343,-1.545,0.222,0.4,0.542,0.186
"MSI04618",19.464,14.415,65.6,40.379,0.297,-1.753,7.93e-08,1.22e-06,2.144,0.607
"1,1,1-Trichloro-2-hydroxy-2-[2-acetamidoethylthi... [M+Na]+",40.243,66.801,91.455,155.164,0.44,-1.184,0.0914,0.258,0.746,0.216
"5'-Phosphoribosyl-N-formylglycinamidine [M]+",1496.332,100.087,1423.452,1391.503,1.051,0.072,0.769,0.832,0.132,-0.026
"lomefloxacin [M]+",39.123,42.338,105.013,90.685,0.373,-1.425,0.000425,0.00355,1.499,0.439
"Benzylpenicilloic acid [M]+",2289.495,153.14,1423.498,2361.19,1.608,0.686,0.0426,0.168,0.892,-0.25
"E [M]+",1326.294,88.714,491.852,753.094,2.696,1.431,4.62e-08,7.43e-07,2.174,-0.618
"Diadenosine diphosphate [M+Na]+",25.807,52.454,57.434,22.916,0.449,-1.154,0.0027,0.0179,1.294,0.369
"Lecithin [M]+_19",63.953,4.846,116.183,117.175,0.55,-0.861,0.0143,0.0772,1.068,0.315
"3-Decaprenyl-4-hydroxybenzoic acid [M+Na]+",19.423,15.883,61.545,24.554,0.316,-1.664,2.19e-11,5.27e-10,2.521,0.722
"PI 38:8 [M+NH4]+",19.073,21.284,62.946,40.702,0.303,-1.723,1.1e-06,1.42e-05,1.984,0.562
"Triacylglycerol [M]+",33.989,49.721,61.259,32.779,0.555,-0.85,0.0119,0.0657,1.096,0.31
"MSI04629",84.331,97.273,156.883,298.948,0.538,-0.896,0.197,0.374,0.574,0.154
"MSI04630",47.119,62.754,146.868,308.623,0.321,-1.64,0.0781,0.237,0.778,0.222
"MSI04631",83.54,128.172,143.808,373.138,0.581,-0.784,0.391,0.544,0.382,0.123
"MSI04632",67.974,99.226,136.641,318.689,0.497,-1.007,0.249,0.422,0.513,0.147
"MSI04633",70.26,99.412,81.731,80.692,0.86,-0.218,0.614,0.716,0.225,0.068
"MSI04634",65.825,94.966,84.822,81.977,0.776,-0.366,0.395,0.547,0.379,0.121
"Cd [M]+",61.959,98.235,84.822,81.977,0.73,-0.453,0.316,0.482,0.446,0.139
"MSI04636",70.089,107.289,70.023,47.349,1.001,0.001,0.997,0.998,0.001,0.026
"MSI04637",96.337,134.331,111.199,120.39,0.866,-0.207,0.643,0.741,0.207,0.051
"MSI04638",131.862,180.698,76.486,70.834,1.724,0.786,0.112,0.284,0.704,-0.18
"MSI04639",73.687,123.392,86.684,147.792,0.85,-0.234,0.704,0.784,0.17,0.063
"Sm [M+H-2H2O]+",48.247,95.577,155.665,328.561,0.31,-1.69,0.0807,0.241,0.771,0.196
"MSI04641",46.949,64.051,76.765,64.916,0.612,-0.709,0.0692,0.223,0.802,0.23
"MSI04642",53.592,70.206,77.922,67.395,0.688,-0.54,0.162,0.338,0.62,0.185
"MSI04643",114.375,183.968,120.403,142.137,0.95,-0.074,0.884,0.917,0.065,0.008
"MSI04644",130.961,186.908,161.639,265.6,0.81,-0.304,0.595,0.701,0.237,0.062
"MSI04645",63.352,93.722,150,240.708,0.422,-1.244,0.0624,0.215,0.821,0.249
"MSI04646",69.633,102.88,141.694,306.574,0.491,-1.025,0.212,0.391,0.554,0.141
"MSI04647",106.882,132.587,105.818,210.846,1.01,0.014,0.981,0.988,0.011,0.005
"MSI04648",35.455,48.314,148.865,261.319,0.238,-2.07,0.0187,0.097,1.028,0.28
"MSI04649",38.073,83.192,199.825,403.686,0.191,-2.392,0.0301,0.135,0.951,0.264
"MSI04650",51.288,110.244,197.663,404.285,0.259,-1.946,0.0526,0.193,0.853,0.239
"MSI04651",50.702,110.393,197.663,404.285,0.257,-1.963,0.0517,0.191,0.856,0.24
"MSI04652",49.932,110.663,160.256,354.133,0.312,-1.682,0.0976,0.267,0.732,0.205
"MSI04653",59.931,103.974,63.835,29.442,0.939,-0.091,0.839,0.886,0.091,0.03
"MSI04654",45.88,78.484,72.956,41.644,0.629,-0.669,0.0897,0.256,0.75,0.22
"MSI04655",65.745,82.538,138.974,253.275,0.473,-1.08,0.125,0.298,0.679,0.186
"5-Chloro-2-hydroxy-p-benzoquinone [M+H-2H2O]+",5222.281,349.309,1703.381,2840.683,3.066,1.616,2.57e-09,4.85e-08,2.321,-0.668
"MSI04657",74.813,116.018,98.899,198.673,0.756,-0.403,0.556,0.667,0.263,0.095
"MSI04658",66.523,117.342,70.479,46.733,0.944,-0.083,0.86,0.9,0.079,0.018
"MSI04659",69.171,117.757,150.248,329.774,0.46,-1.119,0.195,0.373,0.575,0.169
"MSI04660",50.503,75.728,69.508,42.834,0.727,-0.461,0.221,0.399,0.544,0.154
"methylarsonous acid [M+H]+",74.785,108.6,88.905,102.803,0.841,-0.25,0.595,0.701,0.237,0.048
"MSI04662",70.622,94.555,148.205,233.519,0.477,-1.069,0.0865,0.25,0.757,0.206
"MSI04663",84.256,94.043,166.741,255.697,0.505,-0.985,0.0918,0.259,0.745,0.196
"MSI04664",101.594,169.21,110.96,160.561,0.916,-0.127,0.821,0.874,0.101,0.018
"MSI04665",93.982,171.214,69.74,46.394,1.348,0.43,0.442,0.584,0.343,-0.109
"MSI04666",105.865,183.206,64.513,28.313,1.641,0.715,0.212,0.39,0.555,-0.164
"MSI04667",69.848,118.122,71.959,81.049,0.971,-0.043,0.934,0.954,0.037,0.004
"1-(3-aminopropyl)-pyrrolinium [M]+",50.335,89.718,116.303,176.597,0.433,-1.208,0.0643,0.216,0.816,0.216
"MSI04669",78.184,130.575,162.126,500.431,0.482,-1.052,0.362,0.518,0.406,0.114
"MSI04670",43.404,38.476,70.452,47.902,0.616,-0.699,0.0155,0.0819,1.057,0.304
"MSI04671",96.065,142.536,77.365,63.917,1.242,0.312,0.501,0.627,0.3,-0.072
"MSI04672",95.444,154.643,149.648,387.626,0.638,-0.649,0.465,0.598,0.326,0.109
"MSI04673",52.248,82.452,121.951,238.638,0.428,-1.223,0.123,0.297,0.682,0.208
"MSI04674",48.56,117.445,166.696,393.361,0.291,-1.779,0.109,0.281,0.71,0.206
"MSI04675",104.208,167.247,83.138,120.625,1.253,0.326,0.565,0.675,0.257,-0.069
"MSI04676",71.757,93.709,78.075,90.49,0.919,-0.122,0.785,0.846,0.122,0.04
"MSI04677",82.915,120.677,130.271,310.31,0.636,-0.652,0.424,0.573,0.356,0.112
"MSI04678",1617.817,108.213,1683.903,2095.083,0.961,-0.058,0.859,0.899,0.079,0.027
"C8H17F [M]+",1626.714,108.808,1688.215,2101.455,0.964,-0.054,0.869,0.907,0.074,0.025
"MSI04680",50.874,61.805,75.606,64.987,0.673,-0.572,0.124,0.297,0.681,0.204
"MSI04681",72.605,138.651,117.207,209.867,0.619,-0.691,0.32,0.484,0.443,0.142
"MSI04682",71.683,139.023,117.207,209.867,0.612,-0.709,0.31,0.477,0.452,0.144
"MSI04683",83.547,146.822,80.502,59.094,1.038,0.054,0.914,0.939,0.048,0.014
"MSI04684",80.307,114.287,71.59,55.624,1.122,0.166,0.699,0.78,0.173,-0.029
"MSI04685",79.717,114.602,71.59,55.624,1.113,0.155,0.719,0.796,0.16,-0.026
"MSI04686",102.7,158.208,76.867,104.659,1.336,0.418,0.444,0.585,0.341,-0.123
"5,6-Dihydro-5-fluorouracil [M+H]+",128.174,166.872,196.741,535.35,0.651,-0.618,0.492,0.62,0.307,0.086
"MSI04688",79.54,87.171,125.204,235.57,0.635,-0.655,0.308,0.475,0.454,0.132
"MSI04689",72.437,84.449,140.493,241.598,0.516,-0.956,0.138,0.311,0.658,0.191
"Phosphate [M+K]+",129.017,165.839,118.139,323.699,1.092,0.127,0.866,0.904,0.075,-0.011
"MSI04691",103.264,160.919,83.628,125.185,1.235,0.304,0.588,0.695,0.242,-0.066
"MSI04692",102.52,134.455,130.917,243.887,0.783,-0.353,0.566,0.675,0.256,0.06
"MSI04693",47.064,65.601,111.183,204.94,0.423,-1.24,0.0969,0.266,0.734,0.218
